country_code,country_name,continent,sub_region,longitude,latitude
ISR,Israel,Asia,Western Asia,34.851612,31.046051
ITA,Italy,Europe,Southern Europe,12.56738,41.87194
JAM,Jamaica,Americas,Latin America and the Caribbean,-77.297508,18.109581
JPN,Japan,Asia,Eastern Asia,138.252924,36.204824
JOR,Jordan,Asia,Western Asia,36.238414,30.585164
KAZ,Kazakhstan,Asia,Central Asia,66.923684,48.019573
KEN,Kenya,Africa,Sub-Saharan Africa,37.906193,-0.023559
KIR,Kiribati,Oceania,Micronesia,-168.734039,-3.370417
KOR,South Korea,Asia,Eastern Asia,127.766922,35.907757
XKX,Kosovo,Euro,Southern Europe,20.902977,42.6026359
KWT,Kuwait,Asia,Western Asia,47.481766,29.31166
KGZ,Kyrgyzstan,Asia,Central Asia,74.766098,41.20438
LAO,Laos,Asia,South-eastern Asia,102.495496,19.85627
LVA,Latvia,Europe,Northern Europe,24.603189,56.879635
LBN,Lebanon,Asia,Western Asia,35.862285,33.854721
LSO,Lesotho,Africa,Sub-Saharan Africa,28.233608,-29.609988
LBR,Liberia,Africa,Sub-Saharan Africa,-9.429499000000002,6.428055
LBY,Libya,Africa,Northern Africa,17.228331,26.3351
LIE,Liechtenstein,Europe,Western Europe,9.555373,47.166
LTU,Lithuania,Europe,Northern Europe,23.881275,55.169438
LUX,Luxembourg,Europe,Western Europe,6.129582999999999,49.815273
MAC,Macao,Asia,Eastern Asia,113.543873,22.198745
MDG,Madagascar,Africa,Sub-Saharan Africa,46.869107,-18.766947
MWI,Malawi,Africa,Sub-Saharan Africa,34.301525,-13.254308
MYS,Malaysia,Asia,South-eastern Asia,101.975766,4.210484
MDV,Maldives,Asia,Southern Asia,73.22068,3.202778
MLI,Mali,Africa,Sub-Saharan Africa,-3.996166,17.570692
MLT,Malta,Europe,Southern Europe,14.375416,35.937496
MHL,Marshall Islands,Oceania,Micronesia,171.184478,7.131474
MRT,Mauritania,Africa,Sub-Saharan Africa,-10.940835,21.00789
MUS,Mauritius,Africa,Sub-Saharan Africa,57.55215200000001,-20.348404
MEX,Mexico,Americas,Latin America and the Caribbean,-102.552784,23.634501
FSM,Micronesia (country),Oceania,Micronesia,150.550812,7.425554
MDA,Moldova,Europe,Eastern Europe,28.369885,47.411631
MCO,Monaco,Europe,Western Europe,7.424615799999999,43.73841760000001
MNG,Mongolia,Asia,Eastern Asia,103.846656,46.862496
MNE,Montenegro,Europe,Southern Europe,19.374389999999998,42.708678
MAR,Morocco,Africa,Northern Africa,-7.092619999999999,31.791702
MOZ,Mozambique,Africa,Sub-Saharan Africa,35.529562,-18.665695
MMR,Myanmar,Asia,South-eastern Asia,95.955974,21.916221
NAM,Namibia,Africa,Sub-Saharan Africa,18.49041,-22.95764
NRU,Nauru,Oceania,Micronesia,166.931503,-0.522778
NPL,Nepal,Asia,Southern Asia,84.12400799999999,28.394857
NLD,Netherlands,Europe,Western Europe,5.291265999999999,52.132633
NCL,New Caledonia,Oceania,Melanesia,165.618042,-20.904305
NZL,New Zealand,Oceania,Australia and New Zealand,174.885971,-40.900557
NIC,Nicaragua,Americas,Latin America and the Caribbean,-85.207229,12.865416
NER,Niger,Africa,Sub-Saharan Africa,8.081666,17.607789
NGA,Nigeria,Africa,Sub-Saharan Africa,8.675277,9.081999
MKD,Macedonia,Europe,Southern Europe,21.745275,41.608635
MNP,Northern Mariana Islands,Oceania,Micronesia,145.6739,15.0979
NOR,Norway,Europe,Northern Europe,8.468945999999999,60.47202399999999
OMN,Oman,Asia,Western Asia,55.975413,21.4735329
PAK,Pakistan,Asia,Southern Asia,69.34511599999999,30.375321
PLW,Palau,Oceania,Micronesia,134.58252,7.514979999999999
PAN,Panama,Americas,Latin America and the Caribbean,-80.782127,8.537981
PNG,Papua New Guinea,Oceania,Melanesia,143.95555,-6.314992999999999
PRY,Paraguay,Americas,Latin America and the Caribbean,-58.443832,-23.442503
PER,Peru,Americas,Latin America and the Caribbean,-75.015152,-9.189967
PHL,Philippines,Asia,South-eastern Asia,121.774017,12.879721
POL,Poland,Europe,Eastern Europe,19.145136,51.919438
PRT,Portugal,Europe,Southern Europe,-8.224454,39.39987199999999
PRI,Puerto Rico,Americas,Latin America and the Caribbean,-66.590149,18.220833
QAT,Qatar,Asia,Western Asia,51.183884,25.354826
ROU,Romania,Europe,Eastern Europe,24.96676,45.943161
RUS,Russia,Europe,Eastern Europe,105.318756,61.52401
RWA,Rwanda,Africa,Sub-Saharan Africa,29.873888,-1.940278
WSM,Samoa,Oceania,Polynesia,-172.104629,-13.759029
SMR,San Marino,Europe,Southern Europe,12.457777,43.94236
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,6.613080999999999,0.18636
SAU,Saudi Arabia,Asia,Western Asia,45.079162,23.885942
SEN,Senegal,Africa,Sub-Saharan Africa,-14.452362,14.497401
SRB,Serbia,Europe,Southern Europe,21.005859,44.016521
SYC,Seychelles,Africa,Sub-Saharan Africa,55.491977,-4.679574
SLE,Sierra Leone,Africa,Sub-Saharan Africa,-11.779889,8.460555
SGP,Singapore,Asia,South-eastern Asia,103.819836,1.352083
SXM,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,-63.0736329,18.0308266
SVK,Slovakia,Europe,Eastern Europe,19.699024,48.669026
SVN,Slovenia,Europe,Southern Europe,14.995463,46.151241
SLB,Solomon Islands,Oceania,Melanesia,160.156194,-9.64571
SOM,Somalia,Africa,Sub-Saharan Africa,46.199616,5.152149
ZAF,South Africa,Africa,Sub-Saharan Africa,22.937506,-30.559482
SSD,South Sudan,Africa,Sub-Saharan Africa,31.3069788,6.876991899999999
ESP,Spain,Europe,Southern Europe,-3.74922,40.46366700000001
LKA,Sri Lanka,Asia,Southern Asia,80.77179699999999,7.873053999999999
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,-62.782998,17.357822
LCA,Saint Lucia,Americas,Latin America and the Caribbean,-60.978893,13.909444
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,-61.287228,12.984305
SDN,Sudan,Africa,Northern Africa,30.217636,12.862807
SUR,Suriname,Americas,Latin America and the Caribbean,-56.027783,3.919305
SWE,Sweden,Europe,Northern Europe,18.643501,60.12816100000001
CHE,Switzerland,Europe,Western Europe,8.227511999999999,46.818188
SYR,Syria,Asia,Western Asia,38.996815,34.80207499999999
TJK,Tajikistan,Asia,Central Asia,71.276093,38.861034
TZA,Tanzania,Africa,Sub-Saharan Africa,34.888822,-6.369028
THA,Thailand,Asia,South-eastern Asia,100.992541,15.870032
TLS,Timor,Asia,South-eastern Asia,125.727539,-8.874217
TGO,Togo,Africa,Sub-Saharan Africa,0.824782,8.619543
TON,Tonga,Oceania,Polynesia,-175.198242,-21.178986
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,-61.222503,10.691803
TUN,Tunisia,Africa,Northern Africa,9.537499,33.886917
TUR,Turkey,Asia,Western Asia,35.243322,38.963745
TKM,Turkmenistan,Asia,Central Asia,59.556278,38.969719
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean,-71.797928,21.694025
TUV,Tuvalu,Oceania,Polynesia,177.64933,-7.109534999999999
UGA,Uganda,Africa,Sub-Saharan Africa,32.290275,1.373333
UKR,Ukraine,Europe,Eastern Europe,31.1655799,48.379433
ARE,United Arab Emirates,Asia,Western Asia,53.847818,23.424076
GBR,United Kingdom,Europe,Northern Europe,-3.435973,55.378051
USA,United States,Americas,Northern America,-95.712891,37.09024
URY,Uruguay,Americas,Latin America and the Caribbean,-55.765835,-32.522779
UZB,Uzbekistan,Asia,Central Asia,64.585262,41.377491
VUT,Vanuatu,Oceania,Melanesia,166.959158,-15.376706
VEN,Venezuela,Americas,Latin America and the Caribbean,-66.58973,6.42375
VNM,Vietnam,Asia,South-eastern Asia,108.277199,14.058324
VIR,British Virgin Islands,Americas,Latin America and the Caribbean,-64.639968,18.420695
PSE,Palestine,Asia,Western Asia,35.233154,31.952162
YEM,Yemen,Asia,Western Asia,48.516388,15.552727
ZMB,Zambia,Africa,Sub-Saharan Africa,27.849332,-13.133897
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,29.154857,-19.015438
AIA,Anguilla,Americas,Latin America and the Caribbean,-63.06861499999999,18.220554
BES,Bonaire Sint Eustatius and Saba,Americas,Latin America and the Caribbean,-68.2385339,12.1783611
VGB,British Virgin Islands,Americas,Latin America and the Caribbean,-64.639968,18.420695
CXR,Christmas Island,Oceania,Australia and New Zealand,105.690449,-10.447525
COK,Cook Islands,Oceania,Polynesia,-159.777671,-21.236736
FLK,Falkland Islands,Americas,Latin America and the Caribbean,-59.523613,-51.796253
GUF,French Guiana,Americas,Latin America and the Caribbean,-53.125782,3.933889
GIB,Gibraltar,Europe,Southern Europe,-5.353585,36.140751
GLP,Guadeloupe,Americas,Latin America and the Caribbean,-61.55099999999999,16.265
MTQ,Martinique,Americas,Latin America and the Caribbean,-61.024174,14.641528
MSR,Montserrat,Americas,Latin America and the Caribbean,-62.187366,16.742498
NIU,Niue,Oceania,Polynesia,-169.867233,-19.054445
PRK,North Korea,Asia,Eastern Asia,127.510093,40.339852
REU,Reunion,Africa,Sub-Saharan Africa,55.536384,-21.115141
SHN,Saint Helena,Africa,Sub-Saharan Africa,-5.7089241,-15.9650104
SPM,Saint Pierre and Miquelon,Americas,Northern America,-56.3159,46.8852
TWN,Taiwan,Asia,Eastern Asia,120.960515,23.69781
MAF,St. Martin (French part),Americas,Latin America and the Caribbean,-63.05225100000001,18.08255
